time,x_m,y_m
1771102135.6059754,0.6863954332932475,0.07058096809763081
1771102145.5083678,0.6870084488486043,0.06970351005241283
1771102155.2879906,0.6860284202003873,0.06978593405026007
1771102155.8881633,0.6838804167798945,0.07126062337911697
1771102166.7839751,0.684597445500781,0.06973185227359095
1771102167.4071355,0.6849029562507972,0.06989748453326552
1771102168.040601,0.6744673112481461,0.07335362427499587
1771102193.3898194,0.6781760314998362,0.07115516985506479
1771102201.8113785,0.6700903675610261,0.07427388087543793
1771102202.4263847,0.6758960574055026,0.07228722737151168
1771102203.0239866,0.6793948879630334,0.07125701012982573
1771102209.1359665,0.6788123516928933,0.06993387098309059
1771102209.726155,0.6808188109958282,0.0698501117319622
1771102210.3522213,0.6827497380383545,0.06946946216861077
1771102210.95248,0.6834441219700318,0.07038849228926063
1771102211.5791776,0.6849371972644891,0.06931404981610706
1771102212.2057855,0.6860886297195166,0.06844099761001236
1771102218.306739,0.6874025524201963,0.06831370280105403
1771102218.9135623,0.6876679872735463,0.06852873846769683
1771102223.8837337,0.6865132028416436,0.06969749159674264
1771102224.4664648,0.6871663588010566,0.0691558237312914
1771102225.0563817,0.6875386594178636,0.06928767483404669
1771102225.6316636,0.6876030931917285,0.06872327130252447
1771102231.1838775,0.6878535316608165,0.06800932347039929
1771102231.786326,0.6873875898883647,0.06836137383212579
1771102232.3602421,0.6876222841185972,0.06789472595364214
1771102238.4094381,0.6874764671929657,0.06788745049849702
1771102239.0127356,0.6876667486444482,0.06838057855606113
1771102239.611218,0.6890717664086995,0.06804650689805475
1771102245.7794375,0.6889547592321026,0.06828707855302626
1771102246.3521838,0.6889352721673185,0.06821255896237781
1771102246.9647207,0.6895013588519807,0.06816469591202873
1771102247.5889375,0.6895675220699796,0.06839308027433388
1771102252.5888128,0.6894015309298456,0.06879970756919557
1771102253.8233778,0.6878349660677705,0.06915631141406525
1771102258.2571933,0.6864953430306464,0.06789805950228468
1771102265.700566,0.6871586666611791,0.06791311050163779
1771102266.2874985,0.6876865727276712,0.0679162651174081
1771102272.4083283,0.6881311970875676,0.06797188695883521
1771102272.9739804,0.6886397625901274,0.06804793557306603
1771102279.1054187,0.6867362642931952,0.06945135003374775
1771102279.7166064,0.6850999089096179,0.07122925064791602
1771102286.4732003,0.686030846354615,0.07023377668692316
1771102287.1068482,0.6875300467287715,0.06914162829553876
1771102287.6699364,0.6884437162939009,0.06843349638702376
1771102288.272762,0.6877985399345224,0.06865440658207976
1771102288.8882873,0.6876976678335559,0.06807823745028502
1771102295.0474212,0.6863830816367954,0.0673014668274534
1771102296.2327971,0.6862300940039656,0.06896157317882726
1771102296.8290496,0.6867073018958072,0.06882668215151953
1771102297.4162788,0.6870948385527474,0.0687279088989709
1771102297.9770865,0.6862072611291471,0.06987959910472762
1771102298.5770476,0.6868955116012461,0.0694581231308684
1771102307.7875037,0.6866966923421469,0.069315540576485
1771102308.9661133,0.687233120382157,0.06930612761055573
1771102309.5366197,0.6872692925470578,0.06950140887867753
1771102310.1358178,0.6881978862339124,0.06862309239609879
1771102310.7330003,0.6867717443331244,0.0682229810311865
1771102311.3546803,0.6871502478657974,0.06738328676797409
1771102319.9561677,0.6864367670825111,0.06748881637511309
1771102320.5415409,0.6882430736116176,0.06721385222092599
1771102321.1391122,0.6879543910519583,0.06867540428130665
1771102321.6868823,0.6885422027578597,0.06835956346123637
1771102332.1366293,0.6880292253875556,0.0679343780013542
1771102332.71144,0.6884698382963244,0.0677331572606736
1771102341.3655832,0.6872588595173713,0.06667540290453172
1771102341.9267757,0.6874396289241822,0.0665690035189655
1771102343.0946643,0.6866079179147131,0.06664271412633896
1771102343.7184389,0.6865158765465442,0.0664891200410197
1771102344.3343585,0.6862943811036607,0.0681302061816424
1771102351.2458994,0.6876589123541519,0.06792906854353291
1771102352.4470022,0.6885833781779415,0.06795108896554236
1771102353.0457637,0.6888608629224926,0.06794638930383395
1771102359.7086203,0.6897163450115279,0.06818099748192329
1771102360.2740262,0.6885259180272683,0.06850040222900547
1771102360.8791666,0.6886195452321896,0.0683993200184479
1771102361.4885747,0.6871692004711234,0.06912052704024624
1771102362.0778286,0.6867753299649796,0.06817887835314188
1771102367.6887088,0.6852729781183973,0.06823230964886268
1771102368.2700443,0.6865734104356671,0.06820697633381394
1771102376.296046,0.68691800383082,0.06742501300371688
1771102376.9037137,0.6867268464272543,0.06784338538685626
1771102378.063651,0.6874116223031278,0.06741714512368045
1771102384.8301852,0.6854985415150097,0.06771816160687837
1771102385.4691808,0.6852007714125012,0.069063389759839
1771102386.0604374,0.6869506655734892,0.06889744385306046
1771102386.6490574,0.6873869551235415,0.06819232475706738
1771102387.2000937,0.6860495886361653,0.06818506257689086
1771102396.3345442,0.6844885909102378,0.06930639515761539
1771102396.9215062,0.6857862852488528,0.06874528849468128
1771102397.5201936,0.6858487505985125,0.06837590536775921
1771102398.1178844,0.6878866812701272,0.06784344058034712
1771102408.5906804,0.6881626983828808,0.06716751760208363
1771102409.178598,0.687963081193949,0.06729601224079484
1771102409.7927678,0.6874417584722825,0.06761992253178954
1771102418.1763308,0.6860966075017123,0.06903039579046802
1771102419.310176,0.6871774223108401,0.06798520791149948
1771102419.9123335,0.6870515598049063,0.06809354498307012
1771102420.520605,0.6871770319116032,0.06802478679043082
1771102421.130463,0.6874136819151864,0.06701276214784715
1771102421.7445009,0.6874388980479152,0.06695858790018983
1771102429.300923,0.6859970640929005,0.06900488974407169
1771102429.8762271,0.6853582597317257,0.06991927931790684
1771102430.4685636,0.6866083709097647,0.06920222138405929
1771102431.606926,0.6861629129438378,0.06826878805461797
1771102432.1876016,0.6856118917977797,0.06850980578876091
1771102440.2622476,0.6850847422171248,0.06967301739091968
1771102441.9993742,0.6834704925925746,0.07127209440277385
